"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Ht","2",18.9625,1.70399449007977,15,15.3305217184831,22.5944782815169," a   ","a","Ht+2"
"1","Con","2",12.525,1.70399449007977,15,8.89302171848311,16.1569782815169,"  b  ","b","Con+2"
"6","Ht","1",7.9875,1.70399449007977,15,4.35552171848311,11.6194782815169,"  bc ","bc","Ht+1"
"2","Org","2",7.7625,1.70399449007977,15,4.13052171848311,11.3944782815169,"  bc ","bc","Org+2"
"4","Con","1",3.925,1.70399449007977,15,0.293021718483111,7.5569782815169,"   cd","cd","Con+1"
"5","Org","1",1.8875,1.70399449007977,15,-1.74447828151689,5.51947828151689,"    d","d","Org+1"
