"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",241.1075,4.38080020277876,14,231.711618042653,250.503381957348," a    ","a","Con+2"
"6","Ht","2",240.5875,3.70245193049402,14,232.646530386821,248.528469613179," a    ","a","Ht+2"
"2","Con","1",228.2375,3.70245193049402,14,220.296530386821,236.178469613179,"  b   ","b","Con+1"
"1","Ht","1",192.45,3.70245193049402,14,184.509030386821,200.390969613179,"   c  ","c","Ht+1"
"5","Org","2",116.0625,3.70245193049402,14,108.121530386821,124.003469613179,"    d ","d","Org+2"
"4","Org","1",94.8000000000001,3.70245193049402,14,86.8590303868209,102.740969613179,"     e","e","Org+1"
