"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",106.8125,1.19966430489718,15,104.255476062503,109.369523937497," a     ","a","Con+2"
"6","Con","1",92.9625,1.19966430489718,15,90.4054760625026,95.5195239374974,"  b    ","b","Con+1"
"2","Ht","2",80,1.19966430489718,15,77.4429760625026,82.5570239374974,"   c   ","c","Ht+2"
"5","Ht","1",42.3375,1.19966430489718,15,39.7804760625026,44.8945239374974,"    d  ","d","Ht+1"
"1","Org","2",31.15,1.19966430489718,15,28.5929760625026,33.7070239374974,"     e ","e","Org+2"
"4","Org","1",8.8875,1.19966430489718,15,6.33047606250261,11.4445239374974,"      f","f","Org+1"
