"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",74.675,1.84207722745404,14,70.72413728444,78.62586271556," a    ","a","Con+2"
"2","Ht","2",52.8125,1.84207722745404,14,48.8616372844401,56.76336271556,"  b   ","b","Ht+2"
"6","Con","1",43.1875,1.84207722745404,14,39.2366372844401,47.13836271556,"   c  ","c","Con+1"
"1","Org","2",26.59,2.17957516884981,14,21.9152761925347,31.2647238074653,"    d ","d","Org+2"
"5","Ht","1",22,1.84207722745404,14,18.04913728444,25.95086271556,"    d ","d","Ht+1"
"4","Org","1",4.275,1.84207722745404,14,0.324137284440041,8.22586271555996,"     e","e","Org+1"
