"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",172.0875,2.61568154226687,15,166.512306765406,177.662693234594," a     ","a","Con+2"
"6","Ht","2",162.0625,2.61568154226687,15,156.487306765406,167.637693234594,"  b    ","b","Ht+2"
"2","Con","1",148.0625,2.61568154226687,15,142.487306765406,153.637693234594,"   c   ","c","Con+1"
"1","Ht","1",115.8,2.61568154226687,15,110.224806765406,121.375193234594,"    d  ","d","Ht+1"
"5","Org","2",73.5375,2.61568154226687,15,67.9623067654062,79.1126932345938,"     e ","e","Org+2"
"4","Org","1",45.9875,2.61568154226687,15,40.4123067654062,51.5626932345938,"      f","f","Org+1"
