"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",94.6375,2.42494093570681,15,89.4688607445784,99.8061392554216," a    ","a","Con+2"
"6","Con","1",75.975,2.42494093570681,15,70.8063607445784,81.1436392554216,"  b   ","b","Con+1"
"2","Ht","2",66.35,2.42494093570681,15,61.1813607445784,71.5186392554216,"   c  ","c","Ht+2"
"5","Ht","1",30.9375,2.42494093570681,15,25.7688607445784,36.1061392554216,"    d ","d","Ht+1"
"1","Org","2",26.6375,2.42494093570681,15,21.4688607445784,31.8061392554216,"    d ","d","Org+2"
"4","Org","1",5.525,2.42494093570681,15,0.356360744578416,10.6936392554216,"     e","e","Org+1"
