"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",120.0625,1.63396405764224,15,116.579788051877,123.545211948123," a    ","a","Con+2"
"6","Ht","2",108,1.63396405764224,15,104.517288051877,111.482711948123,"  b   ","b","Ht+2"
"2","Con","1",105.7375,1.63396405764224,15,102.254788051877,109.220211948123,"  b   ","b","Con+1"
"1","Ht","1",67.55,1.63396405764224,15,64.0672880518775,71.0327119481225,"   c  ","c","Ht+1"
"5","Org","2",40.1625,1.63396405764224,15,36.6797880518775,43.6452119481226,"    d ","d","Org+2"
"4","Org","1",17.125,1.63396405764224,15,13.6422880518775,20.6077119481225,"     e","e","Org+1"
