"","trt","var","emmean","SE","df","lower.CL","upper.CL",".group","letter","trtname"
"3","Con","2",41.5,2.13775339628624,14,36.9149749735942,46.0850250264058," a  ","a","Con+2"
"2","Ht","2",39.1375,2.13775339628624,14,34.5524749735942,43.7225250264058," a  ","a","Ht+2"
"1","Org","2",18.3375,2.13775339628624,14,13.7524749735942,22.9225250264058,"  b ","b","Org+2"
"6","Con","1",18.15,2.13775339628624,14,13.5649749735942,22.7350250264058,"  b ","b","Con+1"
"5","Ht","1",14.55,2.13775339628624,14,9.96497497359422,19.1350250264058,"  b ","b","Ht+1"
"4","Org","1",3.88500000000001,2.52942392980431,14,-1.54007477274501,9.31007477274503,"   c","c","Org+1"
